SentenceId,Phrase,Sentiment
75,plays  series vignettes  clips  looking common throughline ,1
76,,1
77,major problem windtalkers bulk  centers wrong character ,1
78,swimfan   fatal attraction  eventually goes overboard loony melodramatic denouement high school swimming pool substutes bathtub ,2
79,heartfelt   nt involving ,1
80,unsettling  memorable cinematic experience predecessors proud ,4
81, s pretty  execution  s lot richer ones hollywood action screenwrers usually come ,3
82,phillip noyce actors  cinematographer  christopher doyle  understand delicate forcefulness greene s prose  s screen version quiet american ,3
83,pianist lacks quick emotional connections steven spielberg s schindler s list ,2
84,inventive  fun  intoxicatingly sexy  violent  selfindulgent maddening ,3
85,tells fascinating  compelling  ,4
86,wrten  flatly  david kendall directed  barely  s mary cowrer ed decter ,1
87,highly recommended viewing courage  ideas  technical proficiency great acting ,4
88,imax short  s wonderful big screen ,4
89,shows slice life s different instantly recognizable ,3
90,amid shock curiosy factors   corny examination young actress trying  ,1
91,s lazy  avoid solving problem trying distract solution ,2
92, s comprehensible dummies guide  nontechies enjoy ,3
93,entertains music comic antics  perverse pleasure ing disney scrape cracker barrel ,1
94,wrerdirector burr steers emphasizes q quirky  mixed results ,3
95,scarcely worth mention apart reporting number tumbleweeds blowing theatres graced company ,0
96,invigorating  surreal  resonant rainbow emotion ,4
97, analyze  crass  contrived sequels fails  makes secondguess affection original ,0
98,report card  nt live exalted tagline  s define room improvement ,1
99,s particularly    monsterous ,2
100,tsai ploughing furrow ,2
101,lrb green rrb comedy equivalent saddam hussein  m ready un ask permission preemptive strike ,1
102,surprisingly  solid  achievement director malcolm d lee wrer john ridley ,3
103,massoud s  epic  tragedy  record tenacious  humane fighter prisoner lrb ultimately victim rrb hi ,2
104,changing lanes tries ,3
105,shyamalan stop trying mom ,1
106,macabre stylized swedish fillm modern cy religious civic virtues hold society place tatters ,3
107,recent memory s thoughtful s art  ethics  cost moral compromise ,4
108,narrative consistently unimaginative probably  saved  aid wisecracking mystery science theater 3000 guys ,2
109,maker tian zhuangzhuang triumphantly returns narrative making visually masterful work quiet power ,4
110,mawkish selfparody plays  weird masterpiece theater sketch point view compelling reason ,1
111,takes character nt  nt believe  puts battle wills impossible care nt funny ,2
112,appreciate onesided theme lawrence s overindulgent tirade  knock enjoy big screen postcard selfglorified martin lawrence lovefest ,1
113, sneaky feel  director trying dupe viewer taking important simply  ugly look hollywood product ,0
114,threatens bogged earnest dramaturgy  stirring visual sequence  surge swirling rapids leap pinnacle pinnacle rouses ,3
115,swinging   makes  hobby attracts young f ,1
116, re entirely unprepared ,2
117,devos delivers perfect performance captures innocence budding demons wallflower ,3
118,300 years russian hi culture compressed evanescent  seamless sumptuous stream consciousness ,4
119,makers want    cheap  b    succeed ,3
120,mr polanski element   abaned  consoled art  revealed source spirual survival ,3
121, spiderman better summer blockbuster endure summer  hopefully  sets tone summer  stuff ,4
122,absorbing character,2
123,violent  vulgar forgettably entertaining ,1
124,s unsettling images warravaged land prove potent riveting unly  sarah harrison ,2
125,winds revelatory narcissistic  achieving honest insight relationships highconcept s candycoat pat lines  precious circumstances beautiful stars ,3
126,martha unsurprising  s sweet  delectable diversion ,3
127,thoughtful surprisingly affecting portra screwedup man dared mess powerful    eyes idealistic kid chooses champion ultimately losing cause ,4
128,keenly observed refreshingly natural  swimming gets details right  promenade barely clad bodies myrtle beach  sc  adrenaline jolt sudden lunch rush diner ,3
129,brilliant gag expense paid pay ,2
130,triumph   hews world carries effortlessly darkness light ,4
131,involved coasting ,1
132,fascinating  dark thriller keeps hooked delicious pulpiness lurid fiction ,3
133,suspect kind production funnier director released outtakes theatrically  bonus feature dvd ,1
134,s hard enjoy  tolstoy groupies ,1
135,daughter danang reveals efforts closure open new wounds ,1
136,year s weirdly engaging unpredictable character pieces ,4
137,intriguing downright intoxicating ,4
138,fairly involving far goes   nt end having fresh growing catholic   ,1
139, silly comprehension  nt silly  comprehension ,0
140,sleek arty ,3
141,poor eding  bad bluescreen  ultracheesy dialogue highlight radical action ,0
142,lrb cho s face rrb amazing slapstick instrument  creating scrapbook living mug shots ,3
143,gets details  frame right completely misses emotions ,1
144,inial strangeness inexorably gives  rote senntaly mystical tenderness narrative expedience ,2
145,lets brush humany psycho  making psycho ,3
146, world   hartley created monster nt know handle ,1
147,cowering begging feet scruffy giannini  mana gives best performance abel ferrara beaten pulp dangerous game ,4
148,clumsy key moments  big splash ,1
149,legged freaks partly homage  tarantula low  budget b thrillers 1950s 60s   silly lrb sophomoric rrb romp horror hellish condions ,2
150,feels  light errol morris  focusing eccentricy failing  ultimately  bigger scrapbook oddballs ,1
151,spielberg s realization nearfuture america masterful ,4
152,s scientific law discerned producers heed  mediocre s start drag soon action speeds  explosions start  fall pieces ,0
153,s  cool  actors aware coolness ,3
154,feels  work artist simply tired  fighting fights  putting weight world shoulders  playing narrative form ,1
155, stale uninspired ,1
156,director s cut   love song s fully example kind lush  allenveloping  experience rhapsodizes ,3
157,rare capabily soothe break heart single stroke ,3
158,eerily accurate depiction depression ,1
159,featurelength   wears welcome tryingly tle character ,1
160,uncluttered  resonant gem relays universal points lectures confrontations  ,3
161, force scratch hole head ,1
162,s makers  postcamp comprehension old b s bad makes legged freaks perfectly entertaining summer diversion ,3
163,creaturefeature fan knows  cross toxic chemicals bunch exotic creatures  lot running  screaming death ,2
164,bet s makes convoluted journey worth taking ,2
165,takes sudden turn devolves bizarre sort romantic comedy  steven shainberg s adaptation mary gaskill s harrowing short   brilliantly played  deeply unsettling experience ,3
166,kim kideok mind lrb emotionally rrb adolescent audience demanding regular shocks bouts barely defensible sexual violence interested ,1
167,reason exist  employ hollywood kids  owe favors famous parents ,0
168,wellmade emotionally scattered  hero gives heart dog ,2
169,love cinema paradiso new scenes interesting   improved ,2
170,campanella gets tone right  funny middle sad middle hopeful ,3
171,amiable unfocused bagatelle plays  looselyconnected string actingworkshop exercises ,0
172,s sharp  dull subjects ,3
173,wallace gets b heavy handed message s  visual flair waxes poetic far taste ,2
174,charming funny lrb ultimately silly rrb  ,2
175, thing wild  imax s nt  chimps  lots chimps  blown size house ,2
176,starts mediocre  spirals downward  thuds pool utterly incompetent conclusion ,0
177,children s  truest sense ,3
178,horrendously amateurish making plainly dull visually ugly nt incomprehensible ,0
179,beautifully crafted  engaging making attract upscale audiences hungry qualy nostalgic  twisty yarn guessing ,4
180,awkwardly contrived exercise magic realism ,1
181,punch lines miss  unfortunately  outnumber hs threetoone ,1
182, smoke signals   imbued strong themes familial ties spirualy powerful moving stooping base melodrama,3
183,evokes style flash doublecross mamet s  house games  fall s  heist  fun ,3
184, aims funny  uplifting moving  ,3
185,brief 42 minutes  need x blab ,2
186,spalding gray equivalent teen grossout comedy ,2
187,s great deal corny dialogue preposterous moments ,1
188,uneven lot fun ,3
189,result look  vulgar ,2
190, rehashes old themes capped pointless extremes  s insanely violent graphic ,0
191,dragons real stars reign wo nt disappointed ,3
192,plays dramatic dramatic things happen  ,1
193,manages intended audience  children  placing parents coma state ,3
194, generates plot points degree randomness usually achieved lottery drawing ,1
195, veers comic course  unintentional parallels inadvertently evoke memories emotions humorous ,2
196, depress life ,1
197,saw tv  d probably turn  convinced   ,1
198,impression wrer director burr steers knows terrory  sense humor lose smug selfsatisfaction usually associated better private schools ,1
199,superior horror flick ,4
200, s heavyhanded screenplay navigates fast fade pomposy pretentiousness ,2
201,ltle weak  nt funny ,1
202,nt f told ,1
203,latently gay liking read hardly ,2
204,sophisticated lerate pictures usually  amusing ltle catch ,3
205,telling feels slight ,1
206,monte cristo smartly emphasizes wellwrought  oms needless chase scenes swordfights revenge unfolds ,4
207,s fairy tale comes renowned indian  culture allows americans finally revel splendor ,4
208,welle supernatural thriller keen insights parapsychological phenomena soulful nuances grieving process ,3
209, bond save latest eccentric  superwealthy megalomaniac bent world domination destruction ,2
210,depressing  ruthlessly pained depraved   equivalent staring open wound ,0
211,damon brings proper conviction role lrb jason bourne rrb ,3
212,parents beware  downright  penance ,1
213,s rich luscious  cares ,3
214,singularly offputting romantic comedy ,1
215,director boris von sychowski instead opts routine slasher  probably fun s ,2
216,ve nice screenwrers trusted audiences understand complex   left  s predictable denouement ,0
217,superfluous sequel  plagued old familiar feeling  let s thing   shown appointed  place  visible enthusiasm mighty hard ,1
218,earnest  roughshod document  serves workable primer region s recent hi  terrific 10thgrade learning tool ,3
219,cloaks familiar antifeminist equation lrb career  kids  misery rrb tiresome romanticcomedy duds ,1
220, plays things nice n safe play  milquetoast  week blown big screen ,1
221,work transcends boymeetsgirl posturing typical love stories ,3
222,predictable  clicheridden endeavor predecessor ,1
223,plays  bad blend overripe episode tv s dawson s creek recycled dumbeddown version love  ,0
224,script covers huge  heavy topics bland  surfacey  nt offer insight  instance   things happen bad  ,1
225, bad nt improve experience staring blank screen ,0
226,threw loads money idea ve teenage boys wrestling fans ,1
227,s difficult imagine confused  interesting sloppily  possibly come road 2002 ,0
228, wellintentioned  rent original love  parable ,3
229,jolting charleston rhythms   sizzle old news finally right vent lrb accurate ,2
230,,2
231,williams plays sy  openfaced  smiling madmen   killer insomnia ,2
232,phonedin business usual ,1
233,lackadaisical plotting mindless action  benjamins evokes tier blaxploation flicks 1970s ,1
234,ah  yes   fighting urge doze ,0
235,thoughtless  random  superficial humour lot bad scouse accents,0
236,era big stars high production values standard procedure  narc strikes defiantly retro chord  outpaces contemporaries daring verve ,3
237,riproaring comedy action fest ll hairs chest ,3
238, thoughtful whatif heart mind ,4
239,miyazaki world cinema s wondrously gifted artists tellers ,4
240,chronicle man s quest president  man singlehandedly turned plane hardbten  cynical journalists essentially  campaign s end  extended publicy department ,3
241,provides kind  laugh therapy  need  comedies  offbeat humor  amusing characters  happy ending ,4
242,feels strangely hollow emotional core ,0
243, commercialism squeezed life idealism american making  godfrey reggio s career shines  lonely beacon ,3
244,director roger michell ltle things right s difficult cuss severely bungling big stuff ,2
245,robert harmon s lessismore approach delivers real bumpin  thenight chills  greatest triumph keeping creepy crawlies hidden  s shadows ,3
246, highest production values ve   s work artist  view america  hi awkwardness human life generous deep ,4
247,feral uncomfortable ,1
248,sillier  cuter  shorter lrb best remember rrb    cinema ,4
249,s enjoyable expected   s laughs come fairly basic comedic constructs ,3
250,blackandwhe unrealistic ,0
251, predictable reassuring manner beautifully sung holiday carol ,3
252,camouflage carvey considering paper bag wear head goes public  avoid recognized man bilked unsuspecting goers ,0
253,scares mood ominous  pervasive  unknown threat lurks proceedings adds constant mindset suspense ,3
254,animation handsome  amusing sidekicks add muchneeded levy bleak tale  overall  rises mediocry ,1
255,offers flash rock videos fused solid performances eerie atmosphere ,4
256,breezy blend art  hi  esoteric musings philosophy ,3
257,gong addict  ll adm  complaint nt recreations famous moments ,3
258,genuinely unnerving ,3
259,increasingly diverse french director created  honestly looking  sounding simply feeling   recent hi ,4
260,joyous s leaps national boundaries celebrates universal human nature ,3
261,difficult worthy  bes chew linking massacre armenians 1915 difficult relationships present ,2
262,half   humor dwindles ,1
263,wty surprising  dark ltle moraly tale disguised romantic comedy ,4
264,senses world traveler earlier  freundlich bears grievous obscure complaint fathers  circles obsessively  making contact ,1
265,fact  better ,3
266, preachy parable stylized touch john woo bullet ballet ,2
267,proves  formulas nt need messing   bigbug  ,2
268,uplifting  largely bogus  ,2
269,thanks confident making pair fascinating performances   destination special walk woods ,4
270,superbly photographed staged mendes series riveting set pieces s mainstream audiences rarely  ,4
271,mesmerizing cinematic poem frame ,4
272,10 minutes  worth seeing,3
273,apparent franchise s best years long past ,1
274,screenwrer chris ver weil s directing debut natured dull  virtues small easily overshadowed predictabily ,2
275,telling moves a solondz s social crique  casting audience intellectual lector contemplation auteur s professional injuries ,1
276,ultimately  sarah s dedication finding husband psychotic romantic   makes convincing case woman s broken heart outweighs loss wness ,1
277,jokes flat  action looks fake ,0
278,mildly enjoyable toothless adaptation better book ,2
279,festers dungpile d swear ing monkeys flinging feces ,0
280,addion overcooked  hamfisted direction  actors reaching row  dialogue sounds  horrible poetry ,0
281,vile  incoherent mess  scummy ripoff david cronenberg s brilliant  videodrome  ,0
282,  tries smart  s kinda dumb ,1
283,sent copyof  review dvd ,2
284, silly humbuggery ,1
285,nt sharp original  despe visual virtues   blade ii  nt cut ,1
286,smart  arch coldblooded comedy ,3
287,lrb rrb thinlyconceived  ,0
288,flame  roiling blackandwhe inspires trembling gratude ,3
289,robinson s web suspense matches pageturning frenzy clancy creates ,4
290,slight sweet  ,3
291,got david lynch jones ,2
292,earnest tentative aims shock ,2
293, favor given audiences  day concentrating elements revealing alienation culture  sadly hostile odds recklessness retaliation ,1
294, austin powers goldmember  right stuff silly summer entertainment laughs sustain end ,4
295,puzzles lack emphasis music brney spears   ,2
296,makers want look ,2
297,maintaining appearance clinical objectivy  sad  occasionally horrifying inspiring  wiseman s warmest ,4
298,simply doubt  asks right questions right  hi country ,4
299,dreary  ,0
300,sadly  actors throw spark appear  ca nt generate heat cold vacuum comedy start reaction ,1
301,makers  ivan prince fellow  comes shallow glib meanspired  s indication s responsible putting s particular value mer ,1
302,stock plot  boy injects freshness proceedings provide enjoyable 100 minutes  theater ,3
303,beating austin powers s game  blaxploation spoof downplays raunch favor gags rely strength cleverness opposed extent outrageousness ,3
304,begins conventional thriller evolves gorgeously atmospheric medation lifechanging chance encounters ,3
305,buy popcorn ,2
306,latenight cable sexploation romp masquerading thriller ruthless social order governs college cliques ,2
307,wellintentioned effort s burdened actor s offbeat sensibilies earnest emotional core emerge degree accessibily ,1
308,lrb allen s rrb making piffle long  hollywood ending  saying piffle airhead  business deserves right ,2
309,seeing  lacks momentum posion remains undeterminable  director s experiment successful ,3
310,judh zaza s extended bedroom sequence  intimate sensual funny psychologically selfrevealing makes passes sex s look  cheap hysterics ,4
311,uneven performances spotty script add bing satire teeth ,1
312, irrating soulsearching garbage ,0
313,solid  spooky entertainment worthy price ticket ,3
314,ultimately  clary matters  breaking codes making s ,2
315,comparison earlier s disappointingly slice lowerclass lon life  despe tle  amounts surprisingly ltle ,0
316,proves mainly south korean makers undemanding action s alacry hollywood counterparts ,2
317,s  better ,4
318,happy  heady jumble thought telling  insane comic undertaking ultimately coheres sane breathtakingly creative  ,4
319,joke putting toilet seat ,2
320,rrb,2
321,original base concept help caught ,4
322,appears  idea narrative logic cohesion entirely foreign concept ,0
323,ignore cliches concentrate cy sea s interpersonal drama  ai nt halfbad ,2
324,dreadful day irish hi given passionate  somewhat flawed  treatment ,3
325,,4
326,episode smackdown ,1
327,guilty pleasure best  worth seeing want laugh ,2
328,better celebration unfairly dismissed heroes  nt painfully forced  false fabricated ,1
329,relative letdown ,0
330, hey arnold  ,2
331,scratches surface  provides strong ch explore ,3
332,band performances featured drumline red hot  lrb rrb mere  point view   s ice cold ,2
333,nonmystery mystery ,1
334,leigh rare directors feels acting heart soul cinema ,4
335,cast delivers sham rawnerved  ,3
336,monumental achievement practically facet inept making  joyless  idiotic  annoying  heavyhanded  visually atrocious  downright creepy ,1
337,maker s heart right place ,2
338,highlypraised disappointments ve misfortune   ,0
339,rock s standup magic wanes ,1
340,roman polanski directs pianist  surgeon mends broken heart  meticulously passion ,1
341,sadly   garth  nt progressed nicely  ne  ,1
342,w empathy spare  downtown acknowledges silent screams workaday inertia stops short indulging characters  striving solipsism ,2
343,labours telling ,1
344,remember thrillers actually thrilled ,1
345,naturedness mr deeds  embrace sheer goofiness cameos  thanly new york celebries  certainly raises  sandler s attached ,3
346,fails fundamentally conventional level achieves kind goofy grandeur ,1
347, hohum affair  able hardly memorable ,2
348,saw    s probably accurate  ,1
349,uniformly acted  especially young ballesta galan lrb first actor rrb  wrerdirector achero manas s  schematic obvious ,2
350,resurrect dead man  hard copy come aknocking  ,2
351,idea whe man arriving foreign shores wary natives true light abhorrent  simplistic heaven ly  hell ,2
352,s hard believe relationship  holly marina s survive hothouse emotions teendom  longevy gets inexplicable characterizations turn crassly reductive ,2
353, audience  hours nt connect neat   introduces characters illuminate mysteries sex  duty love ,2
354,purports hollywood satire winds kind  target deeper engaging ,1
355,clever ninetenths ,3
356, waterboy  ,1
357,re going motions  zip gone ,2
358,script s snazzy dialogue establishes realistic atmosphere involves unfolding crisis  lazy plotting ensures ltle emotional investment pays ,2
359, original  ,2
360,goers automatically bypass hiphop documentary  scratch  second look ,4
361,bigelow offers flashy twists turns occasionally fortify turgid fable ,3
362,unsophisticated scifi drama takes seriously ,1
363,stupid  infantile  redundant  sloppy  overthetop  amateurish ,0
364,resident evil comes taking john carpenter s ghosts mars eliminating beheadings ,2
365, resolutely avoids comic possibilies suation  dumb high school comedy sex gags prom dates ,0
366,sex  wonderful tale love destiny  told master teller,4
367,goes   hunger cat  ltle new  tasty performance vincent gallo lifts tale cannibal lust ordinary ,3
368,terrific date   orientation ,3
369,expectation laughter quashed obsceny hand  funniest idea nt funny ,0
370, depth man lacked ,1
371,translation   nt need try hard  ,1
372, frailty  offers chills  sting campfire midnight  telling creepy stories willies ,4
373,frontloaded shapely twohour version released 1990 ,2
374,ambious    shiner s organizing big fight  pulls effects ones nt come ,4
375,s suck despe flaws  heaven beast ,4
376,wrten directed brutal honesty respect audience ,4
377,years release  et remains wondrous hollywood fantasies  apex steven spielberg s misunderstood career ,4
378,ing offers desperately ingratiating performance ,1
379, stumbles cheap trick book trying outrage come easier ,1
380,nicely combines enigmatic features  memento  hallucinatory drug culture  requiem dream  ,3
381,individual  prism beliefs prejudices  thing a sense peace possible ,4
382,bunch  actors flailing caper s original terribly funny ,0
383,illconceived expensive project winds looking  bunch talented thesps slumming ,0
384,broder s screenplay shallow  offensive redundant  pifully real laughs ,1
385,leguizamo jones excellent rest cast uniformly superb ,4
386,trying figure rules country bear universe  bears bears  humans  hairier  tax einstein s brain ,1
387, feardotcom  makings interesting medation ethereal nature internet otherworldly energies channel  simply routine shocker ,2
388,delia  greta  paula rank multilayered sympathetic female characters year ,4
389,beauty alexander payne s ode everyman details ,3
390,town kind authentic feel   stand everybody background manufactured artificial ,1
391,julie davis kathie lee gifford  directors  sadly proving ego nt hand hand talent ,1
392,cred given watercamera operating team king  sonny miller  michael stewart ,3
393,  aussie david caesar channels notquedead career guy rchie ,2
394,averse usually feel  followyourdream hollywood fantasies  got ,4
395,maybe formula making  s wrong  wellcrafted ,3
396,laugh tubaplaying dwarf rolled hill trash ,2
397,loses sense humor vat failed jokes  twchy acting  general boorishness ,0
398,mistyeyed southern nostalgia piece  treading line sappy sanguine  winds mired teardrenched quicksand ,1
399,oblivious existence  sweet ,1
400,despe flaws  belinsky able create engaging  keeps guessing turn ,3
401,porn  sex scenes ,2
402, plays cartoon s obvious strength snazziness neglecting conspicuous wring strength ,2
403,notwhstanding problem  s final half hour  m going recommend secretary  based wonderful acting clinic spader gyllenhaal  unique  shainberg goes telling heart sweet ltle girl ,3
404,despe slick production values director roger michell s ticktock pacing  final effect  having guys yelling face hours ,1
405, barbershop  hearted ensemble comedy variety quirky characters engaging  ,3
406,soulless jumble ineptly assembled cliches pabulum plays  95minute commercial nba properties ,1
407,ambious   manages virtually wrong  sting akin act cinematic penance ,2
408,consistently clever suspenseful ,4
409,soderbergh skims fat 1972  ,3
410,hilarious musical comedy stymied accents mud ,2
411,  guys  cricism considered work ,1
412,suffers  deserves   big box consolation candy ,0
413,bearable ,2
414,cremaster 3 tough pill swallow minor miracle selfexpression ,3
415,kouyate elics strong performances cast  delivers powerful commentary governments lie  matter runs ,3
416,performance ,3
417,asylum material gripping  scenes jia family ,4
418,walked a new version et hoped  moist eyes ,4
419,attal pushes hard comedy drama ,0
420,plays  corny television production bygone era,1
421,s powerful flawed   guaranteed lump throat reaffirming washington possibly best actor working s today ,4
422,solondz laughing joke,1
423,s case actors humanly possible create characters sweet believable  defeated screenplay forces bizarre  implausible behavior ,1
424,enjoyment hinge personal threshold ing sad endearing characters extremely unconventional things ,3
425,body smacks exhibionism cathartic truth telling ,1
426,wrerdirector bart freundlich s  ultimately simplistic  dysfunctional parentchild relationship  special qualies soulful gravy crudup s anchoring performance ,3
427,lrb carvey s rrb characters overplayed exaggerated   subtlety trademark ,0
428,beautifully animated epic dull ,4
429,charming wty  s somewhat clumsy ,3
430,scene  stab soccer hooliganism  doublebarreled ripoff quentin tarantino s climactic shootout  meat loaf explodes ,1
431,frustratingly refuses pinochet s crimes polical context,0
432,paul bettany playing malcolm mcdowell ,2
433,serviceable eurotrash action extravaganza  decent sense humor plenty things boom  handguns  bmws seaside chateaus ,2
434,veterans dating wars smirk uneasily  s nightmare versions everyday sexinthecy misadventures ,2
435,sends a believer cheered ,4
436,rollerball sequences feel sanised stagey ,1
437,interview assassin structured documentary relic   difficult  shaking blair wch project real roots ,1
438,remarkable epic scope  startling intimacy achieves despe breadth ,4
439,nearly 212 hours    indulgent ,1
440, american european gay s 20 years ago ,1
441,claims sort bad guys   essential problem ,1
442,mana gives compelling  damaged characters want help  hurt ,2
443,looking relentlessly lowbrow outing plays  clueless south fork ,1
444,evokes palpable sense disconnection  poignant incessant use cell phones ,3
445,concept hoot ,3
446,straightshooting family  awards animals respect ve rarely given ,4
447,directive protect code costs begins blur importance man code merge,2
448,eric schaeffer accomplished  strictly speaking  qualify revolutionary ,2
449,obvious  obnoxious didactic burlesque ,0
450,balding 50yearold actor playing innocent boy carved log ,2
451,ca nt near  s center ,2
452, 50million budget  pinocchio achieves feel fanciful motion picture ,1
453,ltle intensy ltle charm saved  world hurt ,1
454, jaglom s s  honestly affecting  contrived secondhand ,1
455,maelstrom deliberately unsteady mixture stylistic elements ,2
456,bring battle bots  ,3
457,sweet home alabama nt going win academy awards  datenight diversion definely win hearts ,3
458,love air onscreen  certainly nt feeling ,1
459,long  larded exposion  somber cop drama ultimately feels flat scruffy sands tular communy ,1
460,young stars cute   ensuing complications manipulative  message blatant  resolutions convenient ,1
461,s  lagaan quintessential bollywood ,2
462,characteristically engorged sloppy comingofage  ,1
463,wry  affectionate delight ,4
464,cred director ramsay taking improbable  making feel realistic ,3
465,auteur s ear  fears slights telegraphed blhe exchanges gives  lingering tug ,3
466,gets better foster leaves ltle room ,3
467,despe lavish formalism intellectual austery   manages edge seat shapeshifting perils  polical intrigue brushes calamy ,3
468,friday kind  africanamericans broad racial insensivy africanamericans ,1
469,lively account seinfeld deadpan ,1
470,brings awareness issue overlooked  women s depression ,2
471,imagine  begins seven ripoff  swch mix shining  thing  naked teenagers horror flick 1980s ,1
472,definely funny stuff  s  laughing  variety  laughing  ,3
473,heartening tale small victories enduring hope ,3
474,emotionally strong polically potent piece cinema ,4
475,extremely unpleasant  ,0
476,intellectually scary dramatically involving ,1
477,puzzling experience ,2
478,jonah soso  addion biblical message improve   lessen ,2
479,hope  widely  debated appropriate ferocy thoughtfulness ,4
480,intelligent moving ,4
481, busy hting assigned marks life ,1
482,mark wahlberg  look classy 60s  homage pokepie hat  character s dry  dry  dry ,2
483,moral shrapnel mental shellshock linger long  ended ,3
484,warren stumbles search emotions life experiences s neglected years ,2
485,stayed ,1
486, pile useless actioners mtv schmucks nt know tell  minutes ,0
487, director sara sugarman stoops having characters drop pants laughs  fails provoke ,0
488,s point view  contemporary interpretation joan s prefeminist plight  re left ing reason  present standards allow plenty nudy ,1
489,strong directorial stamp frame stylish  able visualize schizophrenia confident step look sick character sane eye ,3
490,romantic  riveting handsomely animated ,4
491,overproduced piece dreck shockingly bad absolutely unnecessary ,0
492,saccharine disposable ,1
493,captures raw comic energy flamboyant female comics ,4
494,subtle  poignant picture ness flawed  compromised sad ,2
495,exceptionally acted  quietly affecting cop drama ,4
496,summer  restless young audience deserves digny action hero motivated franchise possibilies ,1
