SentenceId,Phrase,Sentiment
50,bloody sunday grace prevention place blame  making best war movies ,4
51,takes clunky tvmovie approach detailing chapter life celebrated irish playwright  poet drinker ,1
52,finally coming miramax s deep shelves couple aborted attempts  waking reno makes strong case letting sleeping dogs lie ,2
53,thanks largely williams  interesting developments processed 60 minutes  rest overexposed waste film ,0
54,comes relic bygone era  convolutions  feel silly plausible ,0
55,s cliche film  refreshing   ,4
56,lead performances oscarsize ,4
57,run lives ,0
58,mark pellington s latest pop thriller kooky overeager spooky subtly love myth ,3
59,claude chabrol s camera way gently swaying forth cradles characters  veiling tension beneath tender movements ,3
60,transforms lrb shakespeare s rrb deepest tragedies smart new comedy ,3
61,screenplay james eric  james horton director peter ofallon  pat makes teeth hurt ,1
62,arriving particularly dark moment history  offers flickering reminders ties bind ,3
63,generic villains lack intrigue lrb funny accents rrb action scenes poorly delivered ,1
64,characters deeply thought  rightthinking  films ,3
65,film  despite gratuitous cinematic distractions impressed  good fun ,3
66,downright transparent script s endless assault embarrassingly hamfisted sex jokes reek script rewrite designed garner film  cooler  pg13 rating ,0
67,smart  provocative drama nearly impossible  gets skin man know evil  monstrous lunatic ,4
68,s like driveby ,1
69,things  stoner midnight flick  scifi deconstruction  gay fantasia  s love story sanguine title ,3
70,funny romantic comedy skittish new york middleagers stumble relationship struggle furiously fears foibles ,3
71,ambition subjects  willingness ,1
72,lrb scherfig rrb movie leave wondering characters  lives clever credits roll ,3
73,lrb rrb absorbing documentary ,3
74,reeks rot hack work start finish ,2
75,plays like series vignettes  clips film looking common throughline ,1
76,,1
77,major problem windtalkers bulk movie centers wrong character ,1
78,swimfan  like fatal attraction  eventually goes overboard loony melodramatic denouement high school swimming pool substitutes bathtub ,2
79,heartfelt story  nt involving ,1
80,unsettling  memorable cinematic experience predecessors proud ,4
81, s pretty good execution story s lot richer ones hollywood action screenwriters usually come ,3
82,phillip noyce actors  cinematographer  christopher doyle  understand delicate forcefulness greene s prose  s screen version quiet american ,3
83,pianist lacks quick emotional connections steven spielberg s schindler s list ,2
84,inventive  fun  intoxicatingly sexy  violent  selfindulgent maddening ,3
85,tells fascinating  compelling story ,4
86,written  flatly  david kendall directed  barely  s mary cowriter ed decter ,1
87,highly recommended viewing courage  ideas  technical proficiency great acting ,4
88,imax short  s wonderful big screen ,4
89,shows slice life s different instantly recognizable ,3
90,amid shock curiosity factors  film corny examination young actress trying way ,1
91,s lazy movie avoid solving problem trying distract solution ,2
92, s comprehensible dummies guide  nontechies enjoy ,3
93,entertains music comic antics  perverse pleasure watching disney scrape cracker barrel ,1
94,writerdirector burr steers emphasizes q quirky  mixed results ,3
95,scarcely worth mention apart reporting number tumbleweeds blowing theatres graced company ,0
96,invigorating  surreal  resonant rainbow emotion ,4
97, analyze  crass  contrived sequels fails  makes secondguess affection original ,0
98,report card  nt live exalted tagline  s definite room improvement ,1
99,s particularly good film  monsterous ,2
100,tsai ploughing furrow ,2
101,lrb green rrb comedy equivalent saddam hussein  m ready un ask permission preemptive strike ,1
102,surprisingly  solid  achievement director malcolm d lee writer john ridley ,3
103,massoud s story epic  tragedy  record tenacious  humane fighter prisoner lrb ultimately victim rrb history ,2
104,changing lanes tries ,3
105,shyamalan stop trying mom ,1
106,macabre stylized swedish fillm modern city religious civic virtues hold society place tatters ,3
107,recent memory s thoughtful films art  ethics  cost moral compromise ,4
108,narrative consistently unimaginative probably way saved film aid wisecracking mystery science theater 3000 guys ,2
109,filmmaker tian zhuangzhuang triumphantly returns narrative filmmaking visually masterful work quiet power ,4
110,mawkish selfparody plays like weird masterpiece theater sketch point view compelling reason ,1
111,takes character nt like nt believe  puts battle wills impossible care nt funny ,2
112,appreciate onesided theme lawrence s overindulgent tirade  knock enjoy big screen postcard selfglorified martin lawrence lovefest ,1
113,film sneaky feel  director trying dupe viewer taking important simply movie ugly look hollywood product ,0
114,threatens bogged earnest dramaturgy  stirring visual sequence like surge swirling rapids leap pinnacle pinnacle rouses ,3
115,swinging  film makes  hobby attracts young fit ,1
116, re entirely unprepared ,2
117,devos delivers perfect performance captures innocence budding demons wallflower ,3
118,300 years russian history culture compressed evanescent  seamless sumptuous stream consciousness ,4
119,filmmakers want good time  cheap  b movie way  succeed ,3
120,mr polanski element   abandoned  consoled art  revealed source spiritual survival ,3
121, spiderman better summer blockbuster endure summer  hopefully  sets tone summer good stuff ,4
122,absorbing character,2
123,violent  vulgar forgettably entertaining ,1
124,s unsettling images warravaged land prove potent riveting unlikely story sarah harrison ,2
125,winds revelatory narcissistic  achieving honest insight relationships highconcept films candycoat pat storylines  precious circumstances beautiful stars ,3
126,martha unsurprising  s sweet  delectable diversion ,3
127,thoughtful surprisingly affecting portrait screwedup man dared mess powerful people  seen eyes idealistic kid chooses champion ultimately losing cause ,4
128,keenly observed refreshingly natural  swimming gets details right  promenade barely clad bodies myrtle beach  sc  adrenaline jolt sudden lunch rush diner ,3
129,brilliant gag expense paid pay ,2
130,triumph  film hews world carries effortlessly darkness light ,4
131,involved coasting ,1
132,fascinating  dark thriller keeps hooked delicious pulpiness lurid fiction ,3
133,suspect kind production funnier director released outtakes theatrically film bonus feature dvd ,1
134,s hard enjoy  tolstoy groupies ,1
135,daughter danang reveals efforts closure open new wounds ,1
136,year s weirdly engaging unpredictable character pieces ,4
137,intriguing downright intoxicating ,4
138,fairly involving far goes  film nt end having fresh growing catholic   ,1
139,movie silly comprehension  nt silly  comprehension ,0
140,sleek arty ,3
141,poor editing  bad bluescreen  ultracheesy dialogue highlight radical action ,0
142,lrb cho s face rrb amazing slapstick instrument  creating scrapbook living mug shots ,3
143,gets details time frame right completely misses emotions ,1
144,initial strangeness inexorably gives way rote sentimentality mystical tenderness narrative expedience ,2
145,lets brush humanity psycho  making psycho ,3
146,like world film  hartley created monster nt know handle ,1
147,cowering begging feet scruffy giannini  madonna gives best performance abel ferrara beaten pulp dangerous game ,4
148,clumsy key moments  big splash ,1
149,legged freaks partly homage  tarantula low  budget bmovie thrillers 1950s 60s  movie silly lrb sophomoric rrb romp horror hellish conditions ,2
150,feels like light errol morris  focusing eccentricity failing  ultimately  bigger scrapbook oddballs ,1
151,spielberg s realization nearfuture america masterful ,4
152,s scientific law discerned producers heed  mediocre movies start drag soon action speeds  explosions start  fall pieces ,0
153,s  cool  actors aware coolness ,3
154,feels like work artist simply tired  fighting fights  putting weight world shoulders  playing narrative form ,1
155, stale uninspired ,1
156,director s cut  film love song movies fully example kind lush  allenveloping movie experience rhapsodizes ,3
157,rare capability soothe break heart single stroke ,3
158,eerily accurate depiction depression ,1
159,featurelength film  wears welcome tryingly title character ,1
160,uncluttered  resonant gem relays universal points lectures confrontations  ,3
161,story force scratch hole head ,1
162,s filmmakers  postcamp comprehension oldtime b movies goodbad makes legged freaks perfectly entertaining summer diversion ,3
163,creaturefeature fan knows  cross toxic chemicals bunch exotic creatures  lot running  screaming death ,2
164,bet s makes convoluted journey worth taking ,2
165,takes sudden turn devolves bizarre sort romantic comedy  steven shainberg s adaptation mary gaitskill s harrowing short story  brilliantly played  deeply unsettling experience ,3
166,kim kideok mind lrb emotionally rrb adolescent audience demanding regular shocks bouts barely defensible sexual violence interested ,1
167,reason exist  employ hollywood kids people owe favors famous parents ,0
168,wellmade emotionally scattered film hero gives heart dog ,2
169,love cinema paradiso new scenes interesting  movie improved ,2
170,campanella gets tone right  funny middle sad middle hopeful ,3
171,amiable unfocused bagatelle plays like looselyconnected string actingworkshop exercises ,0
172,s sharp movie dull subjects ,3
173,wallace gets bit heavy handed message times  visual flair waxes poetic far taste ,2
174,charming funny lrb ultimately silly rrb movie ,2
175, thing wild film imax films nt  chimps  lots chimps  blown size house ,2
176,starts mediocre  spirals downward  thuds pool utterly incompetent conclusion ,0
177,children s film truest sense ,3
178,horrendously amateurish filmmaking plainly dull visually ugly nt incomprehensible ,0
179,beautifully crafted  engaging filmmaking attract upscale audiences hungry quality nostalgic  twisty yarn guessing ,4
180,awkwardly contrived exercise magic realism ,1
181,punch lines miss  unfortunately  outnumber hits threetoone ,1
182,like smoke signals  film imbued strong themes familial ties spirituality powerful moving stooping base melodrama,3
183,evokes style flash doublecross mamet s  house games  fall s  heist  fun ,3
184,film aims funny  uplifting moving  ,3
185,brief 42 minutes  need x blab ,2
186,spalding gray equivalent teen grossout comedy ,2
187,s great deal corny dialogue preposterous moments ,1
188,uneven lot fun ,3
189,result look like vulgar ,2
190,film rehashes old themes capped pointless extremes  s insanely violent graphic ,0
191,dragons real stars reign wo nt disappointed ,3
192,plays dramatic dramatic things happen people ,1
193,manages intended audience  children  placing parents comalike state ,3
194,movie generates plot points degree randomness usually achieved lottery drawing ,1
195,film veers comic course  unintentional parallels inadvertently evoke memories emotions humorous ,2
196,film depress life ,1
197,saw tv  d probably turn  convinced seen movie ,1
198,impression writer director burr steers knows territory  sense humor lose smug selfsatisfaction usually associated better private schools ,1
199,superior horror flick ,4
200,movie s heavyhanded screenplay navigates fast fade pomposity pretentiousness ,2
201,little weak  nt funny ,1
202,nt fit told ,1
203,latently gay liking read hardly ,2
204,sophisticated literate pictures usually  amusing little catch ,3
205,storytelling feels slight ,1
206,monte cristo smartly emphasizes wellwrought story omits needless chase scenes swordfights revenge unfolds ,4
207,s fairy tale comes renowned indian film culture allows americans finally revel splendor ,4
208,welldone supernatural thriller keen insights parapsychological phenomena soulful nuances grieving process ,3
209, bond save latest eccentric  superwealthy megalomaniac bent world domination destruction ,2
210,depressing  ruthlessly pained depraved  movie equivalent staring open wound ,0
211,damon brings proper conviction role lrb jason bourne rrb ,3
212,parents beware  downright movie penance ,1
213,s rich luscious  cares ,3
214,singularly offputting romantic comedy ,1
215,director boris von sychowski instead opts routine slasher film probably fun sit ,2
216,ve nice screenwriters trusted audiences understand complex story  left film s predictable denouement ,0
217,superfluous sequel  plagued old familiar feeling  let s thing   shown appointed time place  visible enthusiasm mighty hard ,1
218,earnest  roughshod document  serves workable primer region s recent history  terrific 10thgrade learning tool ,3
219,cloaks familiar antifeminist equation lrb career  kids  misery rrb tiresome romanticcomedy duds ,1
220,film plays things nice n safe play like milquetoast movie week blown big screen ,1
221,work transcends boymeetsgirl posturing typical love stories ,3
222,predictable  clicheridden endeavor predecessor ,1
223,plays like bad blend overripe episode tv s dawson s creek recycled dumbeddown version love story ,0
224,script covers huge  heavy topics bland  surfacey way nt offer insight  instance  good things happen bad people ,1
225,film bad nt improve experience staring blank screen ,0
226,threw loads money idea ve teenage boys wrestling fans ,1
227,s difficult imagine confused  interesting sloppily film possibly come road 2002 ,0
228,film wellintentioned  rent original love story parable ,3
229,jolting charleston rhythms  story sizzle old news finally right vent lrb accurate ,2
230,,2
231,williams plays sy  openfaced  smiling madmen  like killer insomnia ,2
232,phonedin business usual ,1
233,lackadaisical plotting mindless action  benjamins evokes tier blaxploitation flicks 1970s ,1
234,ah  yes   fighting urge doze ,0
235,thoughtless  random  superficial humour lot bad scouse accents,0
236,era big stars high production values standard procedure  narc strikes defiantly retro chord  outpaces contemporaries daring verve ,3
237,riproaring comedy action fest ll hairs chest ,3
238, thoughtful whatif heart mind ,4
239,miyazaki world cinema s wondrously gifted artists storytellers ,4
240,chronicle man s quest president  man singlehandedly turned plane hardbitten  cynical journalists essentially  campaign s end  extended publicity department ,3
241,provides kind  laugh therapy  need movie comedies  offbeat humor  amusing characters  happy ending ,4
242,feels strangely hollow emotional core ,0
243,time commercialism squeezed life idealism american moviemaking  godfrey reggio s career shines like lonely beacon ,3
244,director roger michell little things right s difficult cuss severely bungling big stuff ,2
245,robert harmon s lessismore approach delivers real bumpin  thenight chills  greatest triumph keeping creepy crawlies hidden film s shadows ,3
246,movie highest production values ve seen  s work artist  view america  history awkwardness human life generous deep ,4
247,feral uncomfortable ,1
248,sillier  cuter  shorter lrb best remember rrb  good time cinema ,4
249,s enjoyable expected   s laughs come fairly basic comedic constructs ,3
250,blackandwhite unrealistic ,0
251,film predictable reassuring manner beautifully sung holiday carol ,3
252,camouflage carvey considering paper bag wear head goes public  avoid recognized man bilked unsuspecting moviegoers ,0
253,scares mood ominous  pervasive  unknown threat lurks proceedings adds constant mindset suspense ,3
254,animation handsome  amusing sidekicks add muchneeded levity bleak tale  overall film rises mediocrity ,1
255,offers flash rock videos fused solid performances eerie atmosphere ,4
256,breezy blend art  history  esoteric musings philosophy ,3
257,gong addict  ll admit  complaint nt recreations famous moments ,3
258,genuinely unnerving ,3
259,increasingly diverse french director created film honestly looking  sounding simply feeling like film recent history ,4
260,joyous films leaps national boundaries celebrates universal human nature ,3
261,difficult worthy film bites chew linking massacre armenians 1915 difficult relationships present ,2
262,halfway movie  humor dwindles ,1
263,witty surprising  dark little morality tale disguised romantic comedy ,4
264,senses world traveler earlier film freundlich bears grievous obscure complaint fathers  circles obsessively  making contact ,1
265,fact  better ,3
266, preachy parable stylized touch john woo bullet ballet ,2
267,proves movie formulas nt need messing  like bigbug movie ,2
268,uplifting  largely bogus story ,2
269,thanks confident filmmaking pair fascinating performances  way destination special walk woods ,4
270,superbly photographed staged mendes series riveting set pieces likes mainstream audiences rarely seen ,4
271,mesmerizing cinematic poem frame ,4
272,10 minutes  worth seeing,3
273,apparent franchise s best years long past ,1
274,screenwriter chris ver weil s directing debut goodnatured dull  virtues small easily overshadowed predictability ,2
275,storytelling moves away solondz s social critique  casting audience intellectual lector contemplation auteur s professional injuries ,1
276,ultimately  sarah s dedication finding husband psychotic romantic  movie makes convincing case woman s broken heart outweighs loss witness ,1
277,jokes flat  action looks fake ,0
278,mildly enjoyable toothless adaptation better book ,2
279,festers dungpile d swear watching monkeys flinging feces ,0
280,addition overcooked  hamfisted direction  actors reaching row  dialogue sounds like horrible poetry ,0
281,vile  incoherent mess  scummy ripoff david cronenberg s brilliant  videodrome  ,0
282, movie tries smart  s kinda dumb ,1
283,sent copyof film review dvd ,2
284, silly humbuggery ,1
285,nt sharp original  despite visual virtues   blade ii  nt cut ,1
286,smart  arch coldblooded comedy ,3
287,lrb rrb thinlyconceived movie ,0
288,flamelike  roiling blackandwhite inspires trembling gratitude ,3
289,robinson s web suspense matches pageturning frenzy clancy creates ,4
290,slight sweet film ,3
291,got david lynch jones ,2
292,earnest tentative aims shock ,2
293,time favor given audiences time day concentrating elements revealing alienation culture people sadly hostile odds recklessness retaliation ,1
294, austin powers goldmember  right stuff silly summer entertainment laughs sustain end ,4
295,puzzles lack emphasis music britney spears  movie ,2
296,filmmakers want look ,2
297,maintaining appearance clinical objectivity  sad  occasionally horrifying inspiring film wiseman s warmest ,4
298,simply doubt film asks right questions right time history country ,4
299,dreary movie ,0
300,sadly  actors throw spark appear  ca nt generate heat cold vacuum comedy start reaction ,1
301,filmmakers  ivan prince fellow  comes shallow glib meanspirited  s indication s responsible putting movies particular value merit ,1
302,stock plot  boy injects freshness proceedings provide enjoyable 100 minutes movie theater ,3
303,beating austin powers films game  blaxploitation spoof downplays raunch favor gags rely strength cleverness opposed extent outrageousness ,3
304,begins conventional thriller evolves gorgeously atmospheric meditation lifechanging chance encounters ,3
305,buy popcorn ,2
306,latenight cable sexploitation romp masquerading thriller ruthless social order governs college cliques ,2
307,wellintentioned effort s burdened actor s offbeat sensibilities earnest emotional core emerge degree accessibility ,1
308,lrb allen s rrb making piffle long  hollywood ending way saying piffle airhead movie business deserves right ,2
309,seeing film lacks momentum position remains undeterminable  director s experiment successful ,3
310,judith zaza s extended bedroom sequence  intimate sensual funny psychologically selfrevealing makes passes sex movies look like cheap hysterics ,4
311,uneven performances spotty script add biting satire teeth ,1
312, irritating soulsearching garbage ,0
313,solid  spooky entertainment worthy price ticket ,3
314,ultimately  clarity matters  breaking codes making movies ,2
315,comparison earlier films disappointingly slice lowerclass london life  despite title  amounts surprisingly little ,0
316,proves mainly south korean filmmakers undemanding action movies alacrity hollywood counterparts ,2
317,s  better ,4
318,happy  heady jumble thought storytelling  insane comic undertaking ultimately coheres sane breathtakingly creative film ,4
319,joke putting toilet seat ,2
320,rrb,2
321,original base concept help caught ,4
322,appears people idea narrative logic cohesion entirely foreign concept ,0
323,ignore cliches concentrate city sea s interpersonal drama  ai nt halfbad ,2
324,dreadful day irish history given passionate  somewhat flawed  treatment ,3
325,,4
326,episode smackdown ,1
327,guilty pleasure best  worth seeing want laugh ,2
328,better celebration unfairly dismissed heroes film nt painfully forced  false fabricated ,1
329,relative letdown ,0
330, hey arnold  ,2
331,scratches surface  provides strong itch explore ,3
332,band performances featured drumline red hot  lrb rrb mere story point view  film s ice cold ,2
333,nonmystery mystery ,1
334,leigh rare directors feels acting heart soul cinema ,4
335,cast delivers sham rawnerved story ,3
336,monumental achievement practically facet inept filmmaking  joyless  idiotic  annoying  heavyhanded  visually atrocious  downright creepy ,1
337,filmmaker s heart right place ,2
338,highlypraised disappointments ve misfortune watch time ,0
339,rock s standup magic wanes ,1
340,roman polanski directs pianist like surgeon mends broken heart  meticulously passion ,1
341,sadly   garth  nt progressed nicely  wayne  ,1
342,wit empathy spare  waydowntown acknowledges silent screams workaday inertia stops short indulging characters  striving solipsism ,2
343,labours storytelling ,1
344,remember thrillers actually thrilled ,1
345,goodnaturedness mr deeds  embrace sheer goofiness cameos  thanlikely new york celebrities  certainly raises film sandler s attached ,3
346,fails fundamentally conventional level achieves kind goofy grandeur ,1
347, hohum affair  watchable hardly memorable ,2
348,saw movie   s probably accurate movie ,1
349,uniformly acted  especially young ballesta galan lrb firsttime actor rrb  writerdirector achero manas s film schematic obvious ,2
350,resurrect dead man  hard copy come aknocking  ,2
351,idea white man arriving foreign shores wary natives true light abhorrent  simplistic heaven likely like hell ,2
352,s hard believe relationship like holly marina s survive hothouse emotions teendom  longevity gets inexplicable characterizations turn crassly reductive ,2
353,movie audience  hours nt connect neat way  introduces characters illuminate mysteries sex  duty love ,2
354,purports hollywood satire winds kind film target deeper engaging ,1
355,clever ninetenths ,3
356, waterboy  ,1
357,re going motions  zip gone ,2
358,script s snazzy dialogue establishes realistic atmosphere involves unfolding crisis  lazy plotting ensures little emotional investment pays ,2
359,good original  ,2
360,moviegoers automatically bypass hiphop documentary  scratch  second look ,4
361,bigelow offers flashy twists turns occasionally fortify turgid fable ,3
362,unsophisticated scifi drama takes seriously ,1
363,stupid  infantile  redundant  sloppy  overthetop  amateurish ,0
364,resident evil comes taking john carpenter s ghosts mars eliminating beheadings ,2
365,movie resolutely avoids comic possibilities situation  dumb high school comedy sex gags prom dates ,0
366,sex  wonderful tale love destiny  told master storyteller,4
367,goes  seen hunger cat people little new  tasty performance vincent gallo lifts tale cannibal lust ordinary ,3
368,terrific date movie  orientation ,3
369,expectation laughter quashed obscenity hand  funniest idea nt funny ,0
370,movie depth man lacked ,1
371,translation   nt need try hard  ,1
372, frailty  offers chills like sitting campfire midnight  telling creepy stories willies ,4
373,frontloaded shapely twohour version released 1990 ,2
374,ambitious movie  like shiner s organizing big fight  pulls effects ones nt come ,4
375,movies suck despite flaws  heaven beast ,4
376,written directed brutal honesty respect audience ,4
377,years release  et remains wondrous hollywood fantasies  apex steven spielberg s misunderstood career ,4
378,gooding offers desperately ingratiating performance ,1
379, stumbles cheap trick book trying outrage come easier ,1
380,nicely combines enigmatic features  memento  hallucinatory drug culture  requiem dream  ,3
381,individual movie prism beliefs prejudices  thing away sense peace possible ,4
382,bunch good actors flailing caper s original terribly funny ,0
383,illconceived expensive project winds looking like bunch talented thesps slumming ,0
384,broder s screenplay shallow  offensive redundant  pitifully real laughs ,1
385,leguizamo jones excellent rest cast uniformly superb ,4
386,trying figure rules country bear universe  bears bears like humans  hairier  tax einstein s brain ,1
387, feardotcom  makings interesting meditation ethereal nature internet otherworldly energies channel  simply routine shocker ,2
388,delia  greta  paula rank multilayered sympathetic female characters year ,4
389,beauty alexander payne s ode everyman details ,3
390,town kind authentic feel  people stand everybody background manufactured artificial ,1
391,julie davis kathie lee gifford film directors  sadly proving ego nt hand hand talent ,1
392,credit given watercamera operating team king  sonny miller  michael stewart ,3
393,film  aussie david caesar channels notquitedead career guy ritchie ,2
394,averse usually feelgood  followyourdream hollywood fantasies  got ,4
395,maybe formula filmmaking  s wrong film wellcrafted ,3
396,laugh tubaplaying dwarf rolled hill trash ,2
397,loses sense humor vat failed jokes  twitchy acting  general boorishness ,0
398,mistyeyed southern nostalgia piece  treading line sappy sanguine  winds mired teardrenched quicksand ,1
399,oblivious existence film sweet ,1
400,despite flaws  belinsky able create engaging story keeps guessing turn ,3
401,porn film sex scenes ,2
402,movie plays cartoon s obvious strength snazziness neglecting conspicuous writing strength ,2
403,notwithstanding problem movie s final half hour  m going recommend secretary  based wonderful acting clinic spader gyllenhaal  unique way shainberg goes telling heart sweet little girl ,3
404,despite slick production values director roger michell s ticktock pacing  final effect like having guys yelling face hours ,1
405, barbershop  goodhearted ensemble comedy variety quirky characters engaging story ,3
406,soulless jumble ineptly assembled cliches pabulum plays like 95minute commercial nba properties ,1
407,ambitious  film manages virtually wrong  sitting akin act cinematic penance ,2
408,consistently clever suspenseful ,4
409,soderbergh skims fat 1972 film ,3
410,hilarious musical comedy stymied accents mud ,2
411,movie like guys film criticism considered work ,1
412,suffers film deserves   big box consolation candy ,0
413,bearable ,2
414,cremaster 3 tough pill swallow minor miracle selfexpression ,3
415,kouyate elicits strong performances cast  delivers powerful commentary governments lie  matter runs ,3
416,performance ,3
417,asylum material gripping  scenes jia family ,4
418,walked away new version et hoped  moist eyes ,4
419,attal pushes hard comedy drama ,0
420,plays like corny television production bygone era,1
421,s powerful flawed movie  guaranteed lump throat reaffirming washington possibly best actor working movies today ,4
422,solondz laughing joke,1
423,s case actors humanly possible create characters sweet believable  defeated screenplay forces bizarre  implausible behavior ,1
424,enjoyment hinge personal threshold watching sad endearing characters extremely unconventional things ,3
425,body smacks exhibitionism cathartic truth telling ,1
426,writerdirector bart freundlich s film ultimately simplistic story dysfunctional parentchild relationship  special qualities soulful gravity crudup s anchoring performance ,3
427,lrb carvey s rrb characters overplayed exaggerated   subtlety trademark ,0
428,beautifully animated epic dull ,4
429,charming witty  s somewhat clumsy ,3
430,scene  stab soccer hooliganism  doublebarreled ripoff quentin tarantino s climactic shootout  meat loaf explodes ,1
431,frustratingly refuses pinochet s crimes political context,0
432,paul bettany playing malcolm mcdowell ,2
433,serviceable eurotrash action extravaganza  decent sense humor plenty things boom  handguns  bmws seaside chateaus ,2
434,veterans dating wars smirk uneasily film s nightmare versions everyday sexinthecity misadventures ,2
435,sends away believer cheered ,4
436,rollerball sequences feel sanitised stagey ,1
437,interview assassin structured documentary relic  film difficult time shaking blair witch project realtime roots ,1
438,remarkable epic scope  startling intimacy achieves despite breadth ,4
439,nearly 212 hours  film way indulgent ,1
440,like american european gay movies 20 years ago ,1
441,claims sort bad guys good  essential problem ,1
442,mana gives compelling  damaged characters want help  hurt ,2
443,goodlooking relentlessly lowbrow outing plays like clueless south fork ,1
444,evokes palpable sense disconnection  poignant incessant use cell phones ,3
445,concept hoot ,3
446,straightshooting family film awards animals respect ve rarely given ,4
447,directive protect code costs begins blur importance man code merge,2
448,eric schaeffer accomplished  strictly speaking  qualify revolutionary ,2
449,obvious  obnoxious didactic burlesque ,0
450,balding 50yearold actor playing innocent boy carved log ,2
451,ca nt near story s center ,2
452, 50million budget  pinocchio achieves feel fanciful motion picture ,1
453,little intensity little charm saved film world hurt ,1
454,like jaglom s films  honestly affecting  contrived secondhand ,1
455,maelstrom deliberately unsteady mixture stylistic elements ,2
456,bring battle bots  ,3
457,sweet home alabama nt going win academy awards  datenight diversion definitely win hearts ,3
458,love air onscreen  certainly nt feeling ,1
459,long  larded exposition  somber cop drama ultimately feels flat scruffy sands titular community ,1
460,young stars cute  story ensuing complications manipulative  message blatant  resolutions convenient ,1
461,ways  lagaan quintessential bollywood ,2
462,characteristically engorged sloppy comingofage movie ,1
463,wry  affectionate delight ,4
464,credit director ramsay taking improbable story making feel realistic ,3
465,auteur s ear way fears slights telegraphed blithe exchanges gives film lingering tug ,3
466,gets better foster leaves little room ,3
467,despite lavish formalism intellectual austerity  film manages edge seat shapeshifting perils  political intrigue brushes calamity ,3
468,friday kind film africanamericans broad racial insensitivity africanamericans ,1
469,lively account seinfeld deadpan ,1
470,brings awareness issue overlooked  women s depression ,2
471,imagine film begins seven ripoff  switch mix shining  thing  naked teenagers horror flick 1980s ,1
472,definitely funny stuff  s  laughing  variety  laughing  ,3
473,heartening tale small victories enduring hope ,3
474,emotionally strong politically potent piece cinema ,4
475,extremely unpleasant film ,0
476,intellectually scary dramatically involving ,1
477,puzzling experience ,2
478,jonah soso  addition biblical message improve film  lessen ,2
479,hope movie widely seen debated appropriate ferocity thoughtfulness ,4
480,intelligent moving ,4
481,film busy hitting assigned marks life ,1
482,mark wahlberg  look classy 60s  homage pokepie hat  character s dry  dry  dry ,2
483,moral shrapnel mental shellshock linger long film ended ,3
484,warren stumbles search emotions life experiences s neglected years ,2
485,stayed ,1
486, pile useless actioners mtv schmucks nt know tell story minutes ,0
487,time director sara sugarman stoops having characters drop pants laughs time fails provoke ,0
